epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.23324,3.06055,4.09195,3.00198,0.19025,0.00229,0.09048,0.0005,0.00015,3.05552,5.66243,3.44367,0.15084,0.00029,0.00029,0.07129
2,14.5522,2.90111,3.54846,2.67352,0.15977,0.00215,0.27143,0.00983,0.00248,2.95428,6.24203,3.11761,0.10823,0.000578318,0.000578318,0.0415783
3,22.4282,2.63391,3.39778,2.59811,0.09896,0.04929,0.12857,0.0184,0.00446,2.45806,4.29846,2.78484,0.08801,0.000854756,0.000854756,0.0118548
4,30.0498,2.63669,3.24663,2.52099,0.11683,0.27421,0.10586,0.11246,0.03359,2.55222,3.9181,3.00542,0.08229,0.0009406,0.0009406,0.0009406
5,37.303,2.34474,2.91609,2.35148,0.09577,0.08484,0.2381,0.08263,0.03406,2.47633,3.54228,2.88591,0.09228,0.0009208,0.0009208,0.0009208
6,44.7009,2.38624,2.96924,2.40473,0.09099,0.17836,0.25564,0.11373,0.04436,2.38694,3.24588,2.81184,0.10859,0.000901,0.000901,0.000901
7,51.9631,2.488,2.71523,2.38346,0.12686,0.09777,0.22857,0.11064,0.03771,2.32898,3.40707,2.74232,0.08119,0.0008812,0.0008812,0.0008812
8,62.3474,2.2815,2.54198,2.32248,0.09919,0.14482,0.2619,0.15642,0.05792,2.4132,3.21711,2.78752,0.09124,0.0008614,0.0008614,0.0008614
9,70.1098,2.12722,2.40239,2.28067,0.0917,0.75922,0.12381,0.22793,0.07968,2.50054,3.0449,2.86152,0.10032,0.0008416,0.0008416,0.0008416
10,77.5204,2.24134,2.3706,2.27277,0.0885,0.54716,0.19171,0.26545,0.10046,2.53003,2.76063,2.83799,0.09711,0.0008218,0.0008218,0.0008218
11,84.3336,2.2303,2.36015,2.24479,0.10465,0.60589,0.25516,0.39795,0.15394,2.50038,2.54939,2.7211,0.08407,0.000802,0.000802,0.000802
12,91.5246,2.07804,2.16349,2.23138,0.08591,0.52176,0.25238,0.20637,0.07023,2.61935,2.99841,2.95495,0.10088,0.0007822,0.0007822,0.0007822
13,98.255,1.99355,2.02984,2.14695,0.08632,0.46917,0.21905,0.13887,0.05661,2.6851,3.52257,3.02512,0.10475,0.0007624,0.0007624,0.0007624
14,105.387,2.03183,2.02762,2.13743,0.07401,0.52262,0.24098,0.17006,0.05936,2.61981,3.47218,2.92011,0.10752,0.0007426,0.0007426,0.0007426
15,112.074,2.046,2.00619,2.13611,0.10374,0.62883,0.20952,0.2308,0.08255,2.52796,2.87419,2.76249,0.10349,0.0007228,0.0007228,0.0007228
16,119.227,2.04225,1.94697,2.13391,0.07872,0.72866,0.26667,0.28423,0.11436,2.54801,2.53508,2.86926,0.10362,0.000703,0.000703,0.000703
17,126.421,2.03818,1.95444,2.09905,0.09086,0.53218,0.38739,0.23199,0.07573,2.58267,3.25747,2.88677,0.09856,0.0006832,0.0006832,0.0006832
18,133.158,1.88888,1.86219,2.03109,0.06854,0.53016,0.30952,0.28375,0.09684,2.58136,3.00315,2.8817,0.08954,0.0006634,0.0006634,0.0006634
19,140.303,1.89588,1.8652,2.12006,0.07563,0.62987,0.21905,0.29598,0.11772,2.48315,2.81084,2.81806,0.08796,0.0006436,0.0006436,0.0006436
20,146.982,1.94855,1.90975,2.06942,0.07457,0.5891,0.18571,0.21037,0.10478,2.31587,2.85065,2.70595,0.095,0.0006238,0.0006238,0.0006238
21,154.15,1.75088,1.7523,1.94237,0.07917,0.72372,0.1619,0.16414,0.06624,2.37433,3.20989,2.74822,0.09492,0.000604,0.000604,0.000604
22,161.336,1.77587,1.66911,1.99102,0.0732,0.63282,0.1619,0.15434,0.06062,2.45743,3.35558,2.76687,0.10068,0.0005842,0.0005842,0.0005842
23,168.065,1.73823,1.6027,1.95477,0.06399,0.5648,0.20952,0.18824,0.05815,2.57909,2.98291,2.75039,0.09836,0.0005644,0.0005644,0.0005644
24,175.208,1.76805,1.59047,1.99305,0.06147,0.5741,0.27022,0.23917,0.09609,2.5294,2.51772,2.75415,0.0886,0.0005446,0.0005446,0.0005446
25,181.899,1.77773,1.68067,1.96361,0.06716,0.69843,0.30813,0.30417,0.11872,2.42388,2.35724,2.75057,0.0908,0.0005248,0.0005248,0.0005248
26,189.059,1.68646,1.54323,1.91962,0.0534,0.73132,0.29449,0.29252,0.1328,2.41535,2.38175,2.75425,0.08868,0.000505,0.000505,0.000505
27,196.256,1.61983,1.46258,1.85275,0.06281,0.75637,0.33015,0.32903,0.14255,2.41563,2.42862,2.7339,0.07868,0.0004852,0.0004852,0.0004852
28,202.992,1.59624,1.47773,1.91591,0.06573,0.6881,0.29048,0.29756,0.12489,2.44921,2.51189,2.76377,0.06934,0.0004654,0.0004654,0.0004654
29,210.147,1.70816,1.56798,1.86905,0.06327,0.6553,0.37738,0.29352,0.10662,2.49004,2.58759,2.79855,0.06838,0.0004456,0.0004456,0.0004456
30,216.834,1.55078,1.42719,1.7451,0.06109,0.63951,0.35824,0.34334,0.12943,2.52052,2.54245,2.82851,0.07409,0.0004258,0.0004258,0.0004258
31,223.987,1.61306,1.4634,1.85272,0.07001,0.65113,0.32381,0.37487,0.15081,2.51212,2.49784,2.87433,0.09183,0.000406,0.000406,0.000406
